s,x,y,tx,ty
3.934214,5.100000,12.860000,-1.000000,0.000000
3.954214,5.080000,12.860000,-0.948683,0.316228
3.982498,5.060000,12.880000,-0.948683,0.316228
4.002498,5.040000,12.880000,-1.000000,0.000000
4.022498,5.020000,12.880000,-1.000000,0.000000
4.042498,5.000000,12.880000,-1.000000,0.000000
4.062498,4.980000,12.880000,-1.000000,0.000000
4.082498,4.960000,12.880000,-1.000000,0.000000
4.102498,4.940000,12.880000,-1.000000,0.000000
4.122498,4.920000,12.880000,-1.000000,0.000000
4.142498,4.900000,12.880000,-1.000000,0.000000
4.162498,4.880000,12.880000,-1.000000,0.000000
4.182498,4.860000,12.880000,-1.000000,0.000000
4.202498,4.840000,12.880000,-0.948683,0.316228
4.230782,4.820000,12.900000,-0.948683,0.316228
4.250782,4.800000,12.900000,-1.000000,0.000000
4.270782,4.780000,12.900000,-1.000000,0.000000
4.290782,4.760000,12.900000,-1.000000,0.000000
4.310782,4.740000,12.900000,-1.000000,0.000000
4.330782,4.720000,12.900000,-1.000000,0.000000
4.350782,4.700000,12.900000,-1.000000,0.000000
4.370782,4.680000,12.900000,-1.000000,0.000000
4.390782,4.660000,12.900000,-1.000000,0.000000
4.410782,4.640000,12.900000,-1.000000,0.000000
4.430782,4.620000,12.900000,-1.000000,0.000000
4.450782,4.600000,12.900000,-1.000000,0.000000
4.470782,4.580000,12.900000,-0.948683,0.316228
4.499066,4.560000,12.920000,-0.948683,0.316228
4.519066,4.540000,12.920000,-1.000000,0.000000
4.539066,4.520000,12.920000,-1.000000,0.000000
4.559066,4.500000,12.920000,-1.000000,0.000000
4.579066,4.480000,12.920000,-1.000000,0.000000
4.599066,4.460000,12.920000,-1.000000,0.000000
4.619066,4.440000,12.920000,-1.000000,0.000000
4.639066,4.420000,12.920000,-1.000000,0.000000
4.659066,4.400000,12.920000,-1.000000,0.000000
4.679066,4.380000,12.920000,-1.000000,0.000000
4.699066,4.360000,12.920000,-1.000000,0.000000
4.719066,4.340000,12.920000,-1.000000,0.000000
4.739066,4.320000,12.920000,-1.000000,0.000000
4.759066,4.300000,12.920000,-1.000000,0.000000
4.779066,4.280000,12.920000,-0.948683,0.316228
4.807351,4.260000,12.940000,-0.948683,0.316228
4.827351,4.240000,12.940000,-1.000000,0.000000
4.847351,4.220000,12.940000,-1.000000,0.000000
4.867351,4.200000,12.940000,-1.000000,0.000000
4.887351,4.180000,12.940000,-1.000000,0.000000
4.907351,4.160000,12.940000,-1.000000,0.000000
4.927351,4.140000,12.940000,-1.000000,0.000000
4.947351,4.120000,12.940000,-1.000000,0.000000
4.967351,4.100000,12.940000,-1.000000,0.000000
4.987351,4.080000,12.940000,-1.000000,0.000000
5.007351,4.060000,12.940000,-1.000000,0.000000
5.027351,4.040000,12.940000,-1.000000,0.000000
5.047351,4.020000,12.940000,-1.000000,0.000000
5.067351,4.000000,12.940000,-1.000000,0.000000
5.087351,3.980000,12.940000,-1.000000,0.000000
5.107351,3.960000,12.940000,-0.948683,0.316228
5.135635,3.940000,12.960000,-0.948683,0.316228
5.155635,3.920000,12.960000,-1.000000,0.000000
5.175635,3.900000,12.960000,-1.000000,0.000000
5.195635,3.880000,12.960000,-1.000000,0.000000
5.215635,3.860000,12.960000,-1.000000,0.000000
5.235635,3.840000,12.960000,-1.000000,0.000000
5.255635,3.820000,12.960000,-1.000000,0.000000
5.275635,3.800000,12.960000,-1.000000,0.000000
5.295635,3.780000,12.960000,-1.000000,0.000000
5.315635,3.760000,12.960000,-1.000000,0.000000
5.335635,3.740000,12.960000,-1.000000,0.000000
5.355635,3.720000,12.960000,-1.000000,0.000000
5.375635,3.700000,12.960000,-1.000000,0.000000
5.395635,3.680000,12.960000,-1.000000,0.000000
5.415635,3.660000,12.960000,-1.000000,0.000000
5.435635,3.640000,12.960000,-1.000000,0.000000
5.455635,3.620000,12.960000,-1.000000,0.000000
5.475635,3.600000,12.960000,-1.000000,0.000000
5.495635,3.580000,12.960000,-0.948683,0.316228
5.523919,3.560000,12.980000,-0.948683,0.316228
5.543919,3.540000,12.980000,-1.000000,0.000000
5.563919,3.520000,12.980000,-1.000000,0.000000
5.583919,3.500000,12.980000,-1.000000,0.000000
5.603919,3.480000,12.980000,-1.000000,0.000000
5.623919,3.460000,12.980000,-1.000000,0.000000
5.643919,3.440000,12.980000,-1.000000,0.000000
5.663919,3.420000,12.980000,-1.000000,0.000000
5.683919,3.400000,12.980000,-1.000000,0.000000
5.703919,3.380000,12.980000,-1.000000,0.000000
5.723919,3.360000,12.980000,-1.000000,0.000000
5.743919,3.340000,12.980000,-1.000000,0.000000
5.763919,3.320000,12.980000,-1.000000,0.000000
5.783919,3.300000,12.980000,-1.000000,0.000000
5.803919,3.280000,12.980000,-1.000000,0.000000
5.823919,3.260000,12.980000,-1.000000,0.000000
5.843919,3.240000,12.980000,-1.000000,0.000000
5.863919,3.220000,12.980000,-1.000000,0.000000
5.883919,3.200000,12.980000,-1.000000,0.000000
5.903919,3.180000,12.980000,-1.000000,0.000000
5.923919,3.160000,12.980000,-1.000000,0.000000
5.943919,3.140000,12.980000,-1.000000,0.000000
5.963919,3.120000,12.980000,-1.000000,0.000000
5.983919,3.100000,12.980000,-1.000000,0.000000
6.003919,3.080000,12.980000,-1.000000,0.000000
6.023919,3.060000,12.980000,-1.000000,0.000000
6.043919,3.040000,12.980000,-1.000000,0.000000
6.063919,3.020000,12.980000,-1.000000,0.000000
6.083919,3.000000,12.980000,-1.000000,0.000000
6.103919,2.980000,12.980000,-1.000000,0.000000
6.123919,2.960000,12.980000,-1.000000,0.000000
6.143919,2.940000,12.980000,-1.000000,0.000000
6.163919,2.920000,12.980000,-1.000000,0.000000
6.183919,2.900000,12.980000,-1.000000,0.000000
6.203919,2.880000,12.980000,-1.000000,0.000000
6.223919,2.860000,12.980000,-1.000000,0.000000
6.243919,2.840000,12.980000,-1.000000,0.000000
6.263919,2.820000,12.980000,-1.000000,0.000000
6.283919,2.800000,12.980000,-1.000000,0.000000
6.303919,2.780000,12.980000,-1.000000,0.000000
6.323919,2.760000,12.980000,-1.000000,0.000000
6.343919,2.740000,12.980000,-1.000000,0.000000
6.363919,2.720000,12.980000,-1.000000,0.000000
6.383919,2.700000,12.980000,-1.000000,0.000000
6.403919,2.680000,12.980000,-1.000000,0.000000
6.423919,2.660000,12.980000,-1.000000,0.000000
6.443919,2.640000,12.980000,-1.000000,0.000000
6.463919,2.620000,12.980000,-1.000000,0.000000
6.483919,2.600000,12.980000,-1.000000,0.000000
6.503919,2.580000,12.980000,-1.000000,0.000000
6.523919,2.560000,12.980000,-1.000000,0.000000
6.543919,2.540000,12.980000,-1.000000,0.000000
6.563919,2.520000,12.980000,-1.000000,0.000000
6.583919,2.500000,12.980000,-1.000000,0.000000
6.603919,2.480000,12.980000,-1.000000,0.000000
6.623919,2.460000,12.980000,-1.000000,0.000000
6.643919,2.440000,12.980000,-1.000000,0.000000
6.663919,2.420000,12.980000,-1.000000,0.000000
6.683919,2.400000,12.980000,-1.000000,0.000000
6.703919,2.380000,12.980000,-1.000000,0.000000
6.723919,2.360000,12.980000,-1.000000,0.000000
6.743919,2.340000,12.980000,-1.000000,0.000000
6.763919,2.320000,12.980000,-1.000000,0.000000
6.783919,2.300000,12.980000,-1.000000,0.000000
6.803919,2.280000,12.980000,-1.000000,0.000000
6.823919,2.260000,12.980000,-1.000000,0.000000
6.843919,2.240000,12.980000,-1.000000,0.000000
6.863919,2.220000,12.980000,-1.000000,0.000000
6.883919,2.200000,12.980000,-1.000000,0.000000
6.903919,2.180000,12.980000,-1.000000,0.000000
6.923919,2.160000,12.980000,-1.000000,0.000000
6.943919,2.140000,12.980000,-1.000000,0.000000
6.963919,2.120000,12.980000,-1.000000,0.000000
6.983919,2.100000,12.980000,-1.000000,0.000000
7.003919,2.080000,12.980000,-1.000000,0.000000
7.023919,2.060000,12.980000,-1.000000,0.000000
7.043919,2.040000,12.980000,-1.000000,0.000000
7.063919,2.020000,12.980000,-1.000000,0.000000
7.083919,2.000000,12.980000,-1.000000,0.000000
7.103919,1.980000,12.980000,-1.000000,0.000000
7.123919,1.960000,12.980000,-1.000000,0.000000
7.143919,1.940000,12.980000,-1.000000,0.000000
7.163919,1.920000,12.980000,-1.000000,0.000000
7.183919,1.900000,12.980000,-1.000000,0.000000
7.203919,1.880000,12.980000,-1.000000,0.000000
7.223919,1.860000,12.980000,-1.000000,0.000000
7.243919,1.840000,12.980000,-1.000000,0.000000
