s,x,y,tx,ty
2.651214,-14.617602,13.666159,-0.948683,0.316228
2.711955,-14.660552,13.709109,-0.948683,0.316228
2.754905,-14.703502,13.709109,-1.000000,0.000000
2.797855,-14.746452,13.709109,-1.000000,-0.000000
2.840805,-14.789402,13.709109,-1.000000,0.000000
2.883755,-14.832352,13.709109,-1.000000,0.000000
2.926705,-14.875302,13.709109,-1.000000,-0.000000
2.969655,-14.918252,13.709109,-0.948683,0.316228
3.030395,-14.961202,13.752059,-0.948683,0.316228
3.073345,-15.004152,13.752059,-1.000000,0.000000
3.116295,-15.047102,13.752059,-1.000000,0.000000
3.159245,-15.090052,13.752059,-1.000000,0.000000
3.202195,-15.133002,13.752059,-1.000000,0.000000
3.245145,-15.175952,13.752059,-1.000000,0.000000
3.288095,-15.218902,13.752059,-0.948683,0.316228
3.348836,-15.261852,13.795009,-0.948683,0.316228
3.391786,-15.304802,13.795009,-1.000000,0.000000
3.434736,-15.347752,13.795009,-1.000000,0.000000
3.477686,-15.390702,13.795009,-1.000000,-0.000000
3.520636,-15.433652,13.795009,-1.000000,0.000000
3.563586,-15.476602,13.795009,-1.000000,0.000000
3.606536,-15.519552,13.795009,-1.000000,-0.000000
3.649486,-15.562502,13.795009,-0.948683,0.316228
3.710226,-15.605452,13.837959,-0.948683,0.316228
3.753176,-15.648402,13.837959,-1.000000,0.000000
3.796126,-15.691352,13.837959,-1.000000,0.000000
3.839076,-15.734302,13.837959,-1.000000,0.000000
3.882026,-15.777252,13.837959,-1.000000,0.000000
3.924976,-15.820202,13.837959,-0.948683,0.316228
3.985717,-15.863152,13.880909,-0.948683,0.316228
4.028667,-15.906102,13.880909,-1.000000,0.000000
4.071617,-15.949052,13.880909,-1.000000,0.000000
4.114567,-15.992002,13.880909,-1.000000,0.000000
4.157517,-16.034952,13.880909,-1.000000,0.000000
4.200467,-16.077902,13.880909,-0.948683,0.316228
4.261207,-16.120852,13.923859,-0.948683,0.316228
4.304157,-16.163802,13.923859,-1.000000,0.000000
4.347107,-16.206752,13.923859,-1.000000,0.000000
4.390057,-16.249702,13.923859,-1.000000,0.000000
4.433007,-16.292652,13.923859,-0.948683,0.316228
4.493748,-16.335602,13.966809,-0.948683,0.316228
4.536698,-16.378552,13.966809,-1.000000,0.000000
4.579648,-16.421502,13.966809,-1.000000,0.000000
4.622598,-16.464452,13.966809,-1.000000,0.000000
4.665548,-16.507402,13.966809,-1.000000,0.000000
4.708498,-16.550352,13.966809,-0.948683,0.316228
4.769238,-16.593302,14.009759,-0.948683,0.316228
4.812188,-16.636252,14.009759,-1.000000,-0.000000
4.855138,-16.679202,14.009759,-1.000000,0.000000
4.898088,-16.722152,14.009759,-1.000000,0.000000
4.941038,-16.765102,14.009759,-1.000000,-0.000000
4.983988,-16.808052,14.009759,-1.000000,0.000000
5.026938,-16.851002,14.009759,-0.948683,0.316228
5.087679,-16.893952,14.052709,-0.948683,0.316228
5.130629,-16.936902,14.052709,-1.000000,0.000000
5.173579,-16.979852,14.052709,-1.000000,0.000000
5.216529,-17.022802,14.052709,-1.000000,0.000000
5.259479,-17.065752,14.052709,-1.000000,0.000000
5.302429,-17.108702,14.052709,-1.000000,0.000000
5.345379,-17.151652,14.052709,-1.000000,0.000000
5.388329,-17.194602,14.052709,-0.948683,0.316228
5.449069,-17.237552,14.095659,-0.948683,0.316228
5.492019,-17.280502,14.095659,-1.000000,0.000000
5.534969,-17.323452,14.095659,-1.000000,0.000000
5.577919,-17.366402,14.095659,-1.000000,0.000000
5.620869,-17.409352,14.095659,-1.000000,0.000000
5.663819,-17.452302,14.095659,-0.948683,0.316228
5.724559,-17.495252,14.138609,-0.948683,0.316228
5.767509,-17.538202,14.138609,-1.000000,0.000000
5.810459,-17.581152,14.138609,-1.000000,0.000000
5.853409,-17.624102,14.138609,-1.000000,0.000000
5.896359,-17.667052,14.138609,-1.000000,0.000000
5.939309,-17.710002,14.138609,-0.948683,0.316228
6.000050,-17.752952,14.181559,-0.948683,0.316228
6.043000,-17.795902,14.181559,-1.000000,0.000000
6.085950,-17.838852,14.181559,-1.000000,0.000000
6.128900,-17.881802,14.181559,-1.000000,0.000000
6.171850,-17.924752,14.181559,-0.948683,0.316228
6.232590,-17.967702,14.224509,-0.948683,0.316228
6.275540,-18.010652,14.224509,-1.000000,0.000000
6.318490,-18.053602,14.224509,-1.000000,0.000000
6.361440,-18.096552,14.224509,-1.000000,0.000000
6.404390,-18.139502,14.224509,-1.000000,0.000000
6.447340,-18.182452,14.224509,-0.948683,0.316228
6.508081,-18.225402,14.267459,-0.948683,0.316228
6.551031,-18.268352,14.267459,-1.000000,0.000000
6.593981,-18.311302,14.267459,-1.000000,-0.000000
6.636931,-18.354252,14.267459,-1.000000,0.000000
6.679881,-18.397202,14.267459,-1.000000,0.000000
6.722831,-18.440152,14.267459,-1.000000,-0.000000
6.765781,-18.483102,14.267459,-0.948683,0.316228
6.826521,-18.526052,14.310409,-0.948683,0.316228
6.869471,-18.569002,14.310409,-1.000000,0.000000
6.912421,-18.611952,14.310409,-1.000000,0.000000
6.955371,-18.654902,14.310409,-1.000000,0.000000
6.998321,-18.697852,14.310409,-1.000000,0.000000
7.041271,-18.740802,14.310409,-1.000000,0.000000
